no;tanggal;Data Inflasi
236;01/08/2022;0,214583333
237;01/09/2022;0,274305556
238;01/10/2022;0,257638889
239;01/11/2022;05.42
240;01/12/2022;05.51
241;01/01/2023;05.28
242;01/02/2023;05.47
243;01/03/2023;0,234027778
244;01/04/2023;04.33
245;01/05/2023;4
